Date,"Feb  1, 2026 to Mar  3, 2026"
Filters,"Sales Order Status: Pending, Processing, Ready to ship, Delivering, Delivered, Completed"

Name,SKU,Quantity Sold,Total Sales,Unit Type,Category,Subcategory,Group,Vendor,Product Owner,Unit Cost,Sale Price,Wholesale Price,Shipped From License,UPC
SRENE - 1g - Pre-roll - BioFuel,SRN-PRJ-BIF,600,1950.00,Unit,Pre-rolled cigs/joints,1g Pre-Roll,Wholesale,SSAC (P),Brandon Green,,5.00,4.0,17334914845519714402,
SRENE - 1g - Pre-roll - Rose Sorbet,SRN-PRJ-ROS,550,1725.00,Unit,Pre-rolled cigs/joints,1g Pre-Roll,Wholesale,SSAC (P),Brandon Green,,5.00,4.0,17334914845519714402,
LEVEL Protab - Indica - 4pk - 25mg,LEV-PRO-4PK-IND,220,1720.00,Unit,Capsule/Tablet,LEVEL - 4pk,Wholesale,SSAC (P),,,8.00,8.0,08542800532746610043,
SRENE - 1g Cart - Sin City Funk,SRE-1g-CRT-SCF,150,1613.00,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Wholesale,SSAC (P),Brandon Green,,12.00,,08542800532746610043,
LEVEL Protab - Indica - 2pk - 50mg,LEV-PRO-2P-IND,435,1610.00,Unit,Capsule/Tablet,LEVEL - 2pk,Wholesale,SSAC (P),James Ferrari,,6.00,,08542800532746610043,
LEVEL Protab - Sativa - 2pk - 50mg,LEV-PRO-2P-SAT,445,1590.00,Unit,Capsule/Tablet,LEVEL - 2pk,Wholesale,SSAC (P),James Ferrari,,6.00,,08542800532746610043,
SRENE - 1g Cart - Purple Slush,SRE-1g-CRT-PSS,150,1550.00,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Wholesale,SSAC (P),Brandon Green,,12.00,,08542800532746610043,
LEVEL Protab - Sativa - 4pk - 25mg,LEV-PRO-4PK-SAT,193,1514.00,Unit,Capsule/Tablet,LEVEL - 4pk,Wholesale,SSAC (P),,,8.00,8.0,08542800532746610043,
SRENE - 1/2 Ounce - Zero Gravity (Smalls),SRE-14S-MYL-ZER,60,1500.00,Half Ounce,Small/Popcorn Buds-Packaged For Sale,14g Smalls Mylar,Wholesale,SSAC (C),Brandon Green,,25.00,,17334914845519714402,
SRENE - 1g AIO Cart - Jet Fuel Acai,SRE-1g-CRT-AIO-JFA,100,1500.00,Unit,Non-Solvent Based Concentrate (Each),1g AIO Cart,Wholesale,SSAC (P),Brandon Green,,15.00,,08542800532746610043,
SRENE - 1g AIO Cart - BubbleGum Gary,SRE-1g-CRT-AIO-BGG,100,1500.00,Unit,Non-Solvent Based Concentrate (Each),1g AIO Cart,Wholesale,SSAC (P),Brandon Green,,15.00,,08542800532746610043,
SRENE - 1g AIO Cart - Hella Jelly,SRE-1g-CRT-AIO-HEJ,100,1500.00,Unit,Non-Solvent Based Concentrate (Each),1g AIO Cart,Wholesale,SSAC (P),Brandon Green,,15.00,,08542800532746610043,
SRENE - 1g AIO Cart - DayStripper,SRE-1g-CRT-AIO-DAS,100,1500.00,Unit,Non-Solvent Based Concentrate (Each),1g AIO Cart,Wholesale,SSAC (P),Brandon Green,,15.00,,08542800532746610043,
SRENE - 1/2 Ounce - Limesicle (Smalls),SRE-14.-MYL-LIS-S,48,1200.00,Half Ounce,Small/Popcorn Buds-Packaged For Sale,14g Smalls Mylar,Wholesale,SSAC (C),Brandon Green,,30.00,,17334914845519714402,
SRENE - 1g Cart - BubbleGum Gary,SRE-1g-CRT-BBG,100,1200.00,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Wholesale,SSAC (P),,,12.00,,08542800532746610043,
SRENE - 1g - Pre-roll - Tropicana Acai,SRN-PRJ-TRA,350,1175.00,Unit,Pre-rolled cigs/joints,1g Pre-Roll,Wholesale,SSAC (P),Brandon Green,,4.00,4.0,17334914845519714402,
SRENE - Purple Slush - Pre Roll - .7g - 5 Pack,SRE- PRJ - PUR - .7 - 5pk,107,1070.00,Unit,Pre-rolled cigs/joints,5pk Pre-Roll,Wholesale,SSAC (C),Beau Meyer,,14.00,,17334914845519714402,
Bud - BioFuel,SRE-BUD-BIF,454,998.80,Gram,Marijuana Flowers/Buds,Bulk Flower,Wholesale,SRENE,Garrett Irwin,,2.20,2.2,17334914845519714402,
Bud - Royale Grape,SRE-BUD-ROG,454,998.80,Gram,Marijuana Flowers/Buds,Bulk Flower,Wholesale,SSAC (C),Daniel Maier,,2.20,2.2,17334914845519714402,
Bud - Lemon Rope,SRE-BUD-LER,454,998.80,Gram,Marijuana Flowers/Buds,Bulk Flower,Wholesale,SSAC (C),Daniel Maier,,2.20,,17334914845519714402,
